lastName,firstName,suffix,gender,birth,city,state,country,status,daysInSpace,Flights
Beregovoy,Georgy,NULL,M,1921-04-15,Fedorivka,NULL,Russia,Retired,3,1
Berezovoy,Anatoly,NULL,M,1942-04-11,Enem,NULL,Russia,Retired,211,1
Bondarenko,Valentin,NULL,M,1937-02-16,Kharkiv,NULL,Russia,Retired,0,0
Borisenko,Andrei,NULL,M,1964-04-17,Leningrad,NULL,Russia,Active,164,1
Budarin,Nikolai,NULL,M,1953-04-29,Kirya,NULL,Russia,Retired,444,6
Bykovsky,Valery,NULL,M,1934-08-02,NULL,NULL,Russia,Retired,20,3
Dezhurov,Vladimir,NULL,M,1962-07-30,Yavas,NULL,Russia,Retired,244,6
Dobrovolsky,Georgy,NULL,M,1928-06-01,NULL,NULL,Russia,Retired,23,1
Dyomin,Lev,NULL,M,1926-01-11,Zvyozdny Gorodok,NULL,Russia,Retired,2,1
Dzhanibekov,Vladimir,NULL,M,1942-05-13,Iskandar,NULL,Russia,Retired,145,5
Feoktistov,Konstantin,NULL,M,1926-02-07,NULL,NULL,Russia,Retired,1,1
Filatyev,Valentin,NULL,M,1930-01-21,NULL,NULL,Russia,Retired,0,0
Filipchenko,Anatoly,NULL,M,1928-02-26,Davydovka,NULL,Russia,Retired,10,2
Gagarin,Yuri,NULL,M,1934-05-09,Klushino,NULL,Russia,Retired,0,1
Gidzenko,Yuri,NULL,M,1962-03-26,Elanets,NULL,Russia,Active,329,6
Glazkov,Yury,NULL,M,1939-02-10,Moscow,NULL,Russia,Retired,17,1
Gorbatko,Viktor,NULL,M,1934-12-03,NULL,NULL,Russia,Retired,30,3
Grechko,Georgy,NULL,M,1931-05-25,NULL,NULL,Russia,Retired,134,8
Gubarev,Aleksei,NULL,M,1931-03-29,NULL,NULL,Russia,Retired,37,2
Ivanchenkov,Aleksandr,NULL,M,1940-09-28,NULL,NULL,Russia,Retired,147,2
Ivanishin,Anatoli,NULL,M,1969-01-15,NULL,NULL,Russia,Active,165,1
Kaleri,Aleksandr,NULL,M,1956-05-13,NULL,NULL,Russia,Active,769,5
